type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
W	-53.658747548	121.021260711		1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	Untitled Placemark		20,2	

type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
T	33.746218579	73.132748229	623.5						
T	33.746218591	73.132760174	623.7						
T	33.746222699	73.132766865	623.8						
T	33.746226777	73.132785573	624.1						
T	33.746239018	73.132808240	624.2						
T	33.746245148	73.132817193	624.3						
T	33.746257421	73.132835131	624.4						
T	33.746273823	73.132852695	624.5						
T	33.746292472	73.132867528	624.6						
T	33.746315722	73.132876726	624.7						
T	33.746341427	73.132883054	624.8						
T	33.746380361	73.132880347	624.7						
T	33.746389161	73.132881526	624.7						
T	33.746413299	73.132878236	624.8						
T	33.746437642	73.132874850	624.9						
T	33.746462088	73.132861670	624.9						
T	33.746479950	73.132851818	624.9						
T	33.746493348	73.132840141	624.9						
T	33.746497728	73.132827309	624.8						
T	33.746488611	73.132818891	624.7						
T	33.746466086	73.132814912	624.6						
T	33.746430336	73.132803170	624.3						
T	33.746372982	73.132794790	624.1						
T	33.746362242	73.132796221	624.1						
T	33.746319603	73.132794571	624.1						
T	33.746265657	73.132798226	624.1						
T	33.746245150	73.132800406	624.2						
T	33.746194122	73.132805910	624.2						
T	33.746121157	73.132828339	624.4						
T	33.746103019	73.132835147	624.4						
T	33.746070617	73.132858138	624.6						
T	33.746022348	73.132890089	624.9						
T	33.745984789	73.132934071	625.1						
T	33.745974799	73.132947057	625.1						
T	33.745962770	73.132969715	625.2						
T	33.745954790	73.132991753	625.2						
T	33.745954627	73.133010657	625.3						
T	33.745956468	73.133024627	625.3						
T	33.745966207	73.133040073	625.4						
T	33.745978056	73.133043489	625.5						
T	33.745991924	73.133046694	625.5						
T	33.746007875	73.133044938	625.6						
T	33.746027908	73.133035660	625.6						
T	33.746049839	73.133024032	625.6						
T	33.746059912	73.133018206	625.6						
T	33.746078120	73.133001989	625.5						
T	33.746092346	73.132981432	625.4						
T	33.746100498	73.132968639	625.4						
T	33.746102552	73.132961277	625.3						
T	33.746108729	73.132936789	625.1						
T	33.746112822	73.132929174	625.1						
T	33.746112871	73.132914890	625.0						
T	33.746106853	73.132891812	624.8						
T	33.746102866	73.132873255	624.7						
T	33.746090786	73.132850966	624.6						
T	33.746076717	73.132828976	624.4						
T	33.746054704	73.132810333	624.4						
T	33.746046719	73.132804218	624.4						
T	33.746028793	73.132792263	624.4						
T	33.746018858	73.132786424	624.4						
T	33.746002997	73.132778990	624.4						
T	33.745975265	73.132773208	624.4						
T	33.745947492	73.132770149	624.5						
T	33.745937590	73.132771601	624.5						
T	33.745917884	73.132769783	624.6						
T	33.745882606	73.132774903	624.8						
T	33.745867004	73.132777189	624.9						
T	33.745834025	73.132784332	625.0						
T	33.745816682	73.132786836	624.9						
T	33.745784153	73.132800583	624.8						
T	33.745751895	73.132818692	624.7						
T	33.745744422	73.132826346	624.6						
T	33.745733240	73.132841203	624.6						
T	33.745720278	73.132865185	624.5						
T	33.745714704	73.132872591	624.4						
T	33.745709218	73.132888880	624.4						
T	33.745707422	73.132898021	624.4						
T	33.745705661	73.132918448	624.3						
T	33.745705766	73.132943221	624.3						
T	33.745711221	73.132961170	624.3						
T	33.745718549	73.132974372	624.3						
T	33.745725876	73.132983044	624.3						
T	33.745738518	73.132989543	624.4						
T	33.745760867	73.132994421	624.5						
T	33.745768312	73.132998385	624.6						
T	33.745796775	73.132999769	624.8						
T	33.745812442	73.132997268	624.9						
T	33.745822064	73.132996083	624.9						
T	33.745837504	73.132994183	625.0						
T	33.745857186	73.132979708	625.0						
T	33.745868907	73.132971230	625.0						
T	33.745874783	73.132963507	625.0						
T	33.745878704	73.132958353	625.0						
T	33.745892471	73.132930978	625.0						
T	33.745892520	73.132914657	625.0						
T	33.745894572	73.132895675	625.0						
T	33.745890643	73.132873030	624.9						
T	33.745890633	73.132856818	624.9						
T	33.745884780	73.132850639	624.9						
T	33.745882784	73.132839405	624.9						
T	33.745874920	73.132824400	624.9						
T	33.745871009	73.132820346	624.9						
T	33.745863208	73.132814541	624.9						
T	33.745849627	73.132816441	625.0						
T	33.745832226	73.132818876	625.0						
T	33.745822601	73.132824797	625.0						
T	33.745793826	73.132835648	624.8						
T	33.745778575	73.132842273	624.8						
T	33.745739044	73.132862897	624.6						
T	33.745664520	73.132907897	624.1						
T	33.745642225	73.132924402	623.9						
T	33.745607198	73.132960349	623.7						
T	33.745581604	73.132994787	623.4						
T	33.745552497	73.133049670	623.0						
T	33.745541687	73.133073040	622.8						
T	33.745536177	73.133111900	622.7						
T	33.745514409	73.133197068	622.2						
T	33.745514339	73.133232934	622.1						
T	33.745512448	73.133293497	621.8						
T	33.745515891	73.133367067	621.8						
T	33.745519459	73.133386892	621.9						
T	33.745528400	73.133430908	622.2						
T	33.745553618	73.133502954	622.6						
T	33.745582848	73.133556863	623.0						
T	33.745595741	73.133576167	623.2						
T	33.745604966	73.133586798	623.3						
T	33.745634567	73.133605273	623.5						
T	33.745651320	73.133617835	623.7						
T	33.745668108	73.133616893	623.8						
T	33.745684956	73.133613684	623.9						
T	33.745698091	73.133606143	624.0						
T	33.745699961	73.133601501	624.0						
T	33.745707466	73.133589722	624.0						
T	33.745709268	73.133569221	624.0						
T	33.745709136	73.133542066	623.9						
T	33.745709070	73.133528493	623.8						
T	33.745703199	73.133499591	623.7						
T	33.745691619	73.133457682	623.4						
T	33.745687775	73.133444496	623.4						
T	33.745676442	73.133425142	623.2						
T	33.745661478	73.133410572	623.0						
T	33.745655886	73.133404267	623.0						
T	33.745642907	73.133396283	622.9						
T	33.745620848	73.133391137	622.7						
T	33.745609922	73.133391817	622.6						
T	33.745595357	73.133395026	622.5						
T	33.745588073	73.133400025	622.5						
T	33.745582595	73.133409410	622.5						
